Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,T05_3_044,T04_1_070,27,29,30,33,34,35,36,37,38,39,41,42,43,44,45,46,47,T01_1_016,T03_1_048,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T07_2_060,T08_1_161,T08_2_164,T08_3_020,T09_3_077,T10_1_291,T10_2_117,T11_1_015,T11_3_146
ENSG00000128567,4811,625,1123,2809,5822,1425,2230,3223,766,4613,1995,2833,3086,1583,1915,620,884,3009,1197,1415,1408,837,489,5302,2131,4408,6740,10207,24311,11880,1369,1095,976,805,821,169,626,1845,1329,1468,2967,5558,750,2358,1560,6908,6742,2794,1674,18034,28541,7991,7709,964,5828,5340,10252,8799
ENSG00000127554,78.96,40.67,81.91,131.7,38.59,209,64.8,98,56.35,88.87,94.58,46.26,166.72,215.23,35.33,104.66,34.12,81.22,35.56,141.92,71.99,43.94,66.97,93.72,59.23,39.33,81.5,82.75,57.7,20.66,104.7,13,47.36,0,18.18,25.24,63.35,29.87,34.52,40.45,135.36,73.68,100.04,51.72,43.6,21.73,34.15,65.57,110,123.33,80.67,92.34,55.82,89.08,79.61,59.49,26.16,89.31
ENSG00000134216,165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,2,0,0,0,0,21,0,0,0,0,1,0,6,25,0,0,0,0,0,1,0,1,11,0,18,0,31,6,0,13,39,2,6,0,2,16,0,2
ENSG00000198881,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,4,1,0,10,9,3,2,0,0,0,0,20,0,0,39,0,0,0,12,1,0,0,1,7,3,6,0,4,5,0,5,3,2,6,9,11
ENSG00000153339,494.2,340,441,244,310,163,296,259.37,129,399.33,323,331,342,373,366.59,338.4,315,435.54,513.94,358,317.26,179.64,560.27,572.67,418,332,669.97,724,600.7,314.64,463.8,575,424.31,177.89,243,220,451,240,546.17,359.77,368.65,607.15,723,641.33,362.42,392.1,507.84,686.23,667,812.82,950.78,965.82,647.07,1010.58,629.09,567.37,475,511.75
ENSG00000285854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,1.23,0,0,6.18,0,1.26,4.96,0,5.24,3.57,0,14.84,3.02,9.24,0,2.45,0,3.8,0,0,0,0,8.47,31.61,0,3.58,4.87,18.68,5.23,0,1,0,0,0,3.27,5,1,11.06,1.23,7.22,11.47
ENSG00000130255,727,194,881,1410,822,364,496,286,318,965,1166,417,1000,739,324,761,416,779,489,1069,231,487,539,666,156,264,663,1441,702.4,288,516,294,410,230,223.66,352,644.06,238,372,246,972,199,512,175,177,190,137,394,455,449,413,390,335,716,466,299,465,366
ENSG00000197826,9,0,0,0,0,0,0,0,0,0,8,2,0,0,0,2,0,0,0,0,0,4,123,0,0,0,0,0,0,22,0,0,1,0,3,53,0,0,0,0,0,11,0,0,15,12,121,31,0,8,66,42,11,0,16,10,0,4
ENSG00000084676,596,329,731,626,776,495,298,482,834,638,781,927,655,914,424,399,389,614,520,574,455,321,519,1283,428,466,664,924,572,364,508,177,503,143,569,180,609,248,321,440,624,1036,388,442,171,412,298,611,416,487,618,462,768,811,379,410,505,508
ENSG00000165923,36,20,3,5,0,0,3,1,2,0,15,39,14,0,12,12,12,9,24,0,32,42,170,36,11,109,4,111,105,162,12,20,17,10,10,19,8,10,14,3,8,65,36,18,33,38,316,139,11,105,304,260,150,54,195,89,43,72
