Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,T05_3_044,T04_1_070,27,29,30,33,34,35,36,37,38,39,41,42,43,44,45,46,47,T01_1_016,T03_1_048,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T08_1_161,T08_2_164,T08_3_020,T09_3_077,T10_1_291,T10_2_117,T11_1_015,T11_3_146
ENSG00000127554,78.96,40.67,81.91,131.7,38.59,209,64.8,98,56.35,88.87,94.58,46.26,166.72,215.23,35.33,104.66,34.12,81.22,35.56,141.92,71.99,43.94,66.97,93.72,59.23,39.33,81.5,82.75,57.7,20.66,104.7,13,47.36,0,18.18,25.24,63.35,29.87,34.52,40.45,135.36,73.68,100.04,51.72,43.6,21.73,34.15,65.57,110,80.67,92.34,55.82,89.08,79.61,59.49,26.16,89.31
ENSG00000128567,4811,625,1123,2809,5822,1425,2230,3223,766,4613,1995,2833,3086,1583,1915,620,884,3009,1197,1415,1408,837,489,5302,2131,4408,6740,10207,24311,11880,1369,1095,976,805,821,169,626,1845,1329,1468,2967,5558,750,2358,1560,6908,6742,2794,1674,28541,7991,7709,964,5828,5340,10252,8799
ENSG00000130255,727,194,881,1410,822,364,496,286,318,965,1166,417,1000,739,324,761,416,779,489,1069,231,487,539,666,156,264,663,1441,702.4,288,516,294,410,230,223.66,352,644.06,238,372,246,972,199,512,175,177,190,137,394,455,413,390,335,716,466,299,465,366
ENSG00000134216,165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,2,0,0,0,0,21,0,0,0,0,1,0,6,25,0,0,0,0,0,1,0,1,11,0,18,0,31,6,0,39,2,6,0,2,16,0,2
ENSG00000136942,832,209,700,787,1130,422,633,503,565,1145,1043,503,749,733,365,584.99,379,889,521,1102,430,332,677,615,309,247,1041,1068,551,205,571,367,303,212,309,241,693,501,431,232,749,399,445,680,153,262,134,661.99,608,550.99,538,371,1042,539,330,334.97,517
ENSG00000139163,1259,1026,1178,1071,1334,1216,1007,1015,636,1228,1025,1442,1587,1423,1518,1038,1087,1100,1305,751,848,916,1664,2023,1062,1389,1577,1400,1994,1645,1631,946,964,452,1141,1052,1179,698,733,807,1568,1377,2256,2250,944,2063,2825,4809,1722,3153,2472,2919,2054,2121,1417,2002,1737
ENSG00000143369,1209,20,74,88,154,0,14,174,203,215,77,61,0,365,359,29,532,51,82,22,53,149,84,328,53,17,267,82,39,4,109,2,93,0,31,18,48,63,20,25,149,9,7,39,110,63,23,138,161,82,30,214,27,148,41,136,267
ENSG00000143436,115.96,34,185,208.79,268,90,215,68,96,115,161,71,168,289,108.84,210.93,114,126.44,137,290,72.47,162,112,188.29,75,34.83,263,153,86,29,328,82,139,0,93,85.88,156,81,90,106.57,188,168.81,132,147,54,74.35,37.08,159.66,80,93.11,86.05,61.64,156.89,57.74,96,91,52
ENSG00000144713,2047.99,691.52,1225.61,3342.23,1795.14,784.31,1437.66,993.29,799,2457.36,2113.37,1851.17,2525.99,2026.07,1414.82,1397.63,1051.98,2533.14,1329.37,2904.29,1374.1,905.09,1657.17,2824.25,720.69,907.91,1939.49,3191.9,2035.62,976.04,1179.03,443.39,531.01,208.51,924.23,729.23,1538.13,740.05,826.21,583.72,2157.05,1301.59,1149.7,1203.17,375.38,799.71,362.77,1475.57,1110.64,1532.9,1334.27,1184.12,2964.92,1426.64,673.96,1152.55,1480.1
ENSG00000145198,68,0,1,6,0,0,0,38,4,0,20,23,29,0,115,5,5,3,5,80,1,67,45,7,11,607,25,112,36,139,2,834,12,0,6,1,29,14,171,0,24,602,9,5,25,104,358,166,17,265,160,226,6,97,35,30,126
ENSG00000145734,1482,766,996,1108,1058,1048,1321,1276,299,1231,1267,1189,1224,1258,994,1432,739,809,1377,2995,1137,1718,778,711,477,759,1026,1016,1444,503,954,895,819,228,1394,548,1213,362,1139,837,1751,842,957,958,499,627,684,1186,634,890,1070,705,920,916,648,1193,608
ENSG00000151320,271,9,3,35,174,25,48,28,0,117,24,123,157,102,72,177,23,58,70,93,37,62,80,121,49,319,113,343,570,403,93,0,167,99,49,60,610,109,17,25,107,123,165,59,123,122,986,361,12,250,142,269,87,105,137,636,146
ENSG00000153339,494.2,340,441,244,310,163,296,259.37,129,399.33,323,331,342,373,366.59,338.4,315,435.54,513.94,358,317.26,179.64,560.27,572.67,418,332,669.97,724,600.7,314.64,463.8,575,424.31,177.89,243,220,451,240,546.17,359.77,368.65,607.15,723,641.33,362.42,392.1,507.84,686.23,667,950.78,965.82,647.07,1010.58,629.09,567.37,475,511.75
ENSG00000153993,149,0,1,26,0,0,17,70,39,5,8,67,0,7,46,8,17,7,305,101,6,0,45,10,46,429,121,456,178,343,24,0,56,24,73,262,5,10,11,0,2,3,0,12,73,119,2140,286,85,526,64,291,128,121,426,23,151
ENSG00000156218,74,54,15,62,82,0,0,207,14,26,18,141,70,97,30,103,3,97,2,90,108,58,49,28,143,155,30,84,187,420,55,51,91,153,75,1518,34,55,59,2,31,93,0,4,93,152,21,344,0,4043,322,91,87,69,366,80,15
ENSG00000164972,16,0,0,4,7,0,0,0,0,0,0,1,32,0,0,8,0,3,2,0,0,2,225,0,0,7,2,9,37,6,1,0,0,0,1,10,2,0,0,0,5,28,7,0,1,29,64,182,0,198,167,41,6,66,33,16,28
ENSG00000165923,36,20,3,5,0,0,3,1,2,0,15,39,14,0,12,12,12,9,24,0,32,42,170,36,11,109,4,111,105,162,12,20,17,10,10,19,8,10,14,3,8,65,36,18,33,38,316,139,11,304,260,150,54,195,89,43,72
ENSG00000166823,39,64,15,5,41,0,27,0,1,50,12,2,0,0,34,39,37,6,10,34,8,13,163,23,21,183,79,17,199,0,15,61,7,0,13,5,2,35,45,45,8,646,165,1,15,293,196,26,0,126,437,19,43,251,389,11,58
ENSG00000169436,10,17,19,3230,25,0,4,0,0,23,7,198,0,30,15,2,4,0,1,10,492,5,8,0,958,4,13,0,0,6,619,16,89,0,39,0,13,14,0,0,0,0,33,14,29,1,18,41,72,36,7,27,47,12,22,27,14
ENSG00000169856,0,0,0,0,0,0,0,0,0,0,0,1,0,75,3,1,0,2,0,1,0,7,4,10,0,20,9,1854,0,39,0,3,0,521,0,13,61,0,0,820,7,3,0,8,38,13,15,8,0,10,0,0,0,5,22,23,5
ENSG00000171490,993,202,501,1130,469,515,481,226,405,810,1000,487,956,702,314,680,343,727,688,1205,437,289,485,425,237,256,778,1017,571,203,858,171,461,231,357,310,515,259,327,169,867,378,441,331,190,293,188,477,406,536,420,351,534,409,257,312,359
ENSG00000174123,1,0,9,5,0,0,0,214,32,0,0,14,18,0,3,1,0,8,1,7,3,0,2,6,23,16,35,3,5,15,20,0,3,0,220,0,3,0,0,13,2,8,0,9,17,2,6,12,0,68,26,11,516,6,3,19,71
ENSG00000176046,52,312,1903,185,112,377,393,44,209,51,579,66,18,211,33,43,41,749,58,63,77,182,137,152,308,63,181,158,163,35,182,37,100,18,66,107,31,80,564,234,181,89,326,62,54,126,21,199,182,84,47,82,152,84,97,53,66
ENSG00000176659,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,0,1,1,7,24,18,15,5,7,37,0,3,0,3,0,3,5,0,34,0,1,3,37,14,2,31,10,20,6,1,8,14,4,37,11,33,20,2
ENSG00000177992,6,0,0,0,0,0,0,0,0,0,7,7,0,0,5,4,1,6,2,0,0,0,0,0,1,39,1,12,49,9,0,0,0,0,0,0,11,17,0,0,20,4,0,8,32,2,40,4,6,11,14,26,4,40,2,0,11
ENSG00000182253,25.17,69.04,179,638.32,219,216.63,176.14,325,226.92,156,309.45,64.41,111,22,159.29,81.9,103,564.01,44.97,71.18,45.01,137.07,82.43,463.75,174.46,25,153,108.62,109,38,89,79,145.58,15,76.79,11.81,106,105,88,112.2,257.35,147.71,155.96,91.2,95.41,69.27,22.71,377.87,43,63.28,31.81,97.96,147.69,52.18,139.55,187,68.57
ENSG00000188505,1,5,0,850,73,153,2,0,0,89,0,0,6,0,26,0,431,0,50,9,3,7,63,3,13,1,2,22,0,0,42,0,13,0,4,0,0,41,3,2,6,2,4,6,43,18,0,3,15,0,34,18,52,15,27,0,10
