Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,T05_3_044,T04_1_070,26,27,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,T01_1_016,T03_1_048,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T07_2_060,T08_1_161,T08_2_164,T08_3_020,T09_3_077,T10_1_291,T10_2_117,T11_1_015,T11_3_146
ENSG00000072062,1.122430742,0.861483467,1.626452189,1.547810545,1.665773012,0.636282395,0.682752458,0.150134048,1.619302949,1.558534406,1.226094727,1.011617516,1.987488829,1.579982127,0.832886506,1.025915996,0.761394102,1.0974084,1.551385165,0.990169794,1.569258266,0.90080429,2.201966041,1.983914209,1.08310992,0.493297587,0.825737265,1.862377122,1.394101877,0.36461126,0.750670241,1.708668454,0.893655049,1.537086685,0.822162645,1.218945487,0.17515639,0.639857015,0.757819482,1.186773905,0.686327078,0.428954424,0.679177837,1.336907954,0.932975871,1.294012511,0.818588025,0.525469169,0.647006256,0.657730116,1.697944593,1.304736372,1.215370867,1.215370867,0.965147453,1.000893655,1.376228776,1.143878463,1.218945487,0.993744415,1.229669348
ENSG00000077232,0.773942685,0.528521386,0.505608609,0.227091077,0.414212088,0.218435139,0.275462495,0.561872206,0.445526217,0.699972604,0.376278713,0.442980353,0.770559232,0.548379126,0.962336628,0.448581254,0.186102665,0.642321511,0.599550994,0.205451232,0.445526217,0.207233337,0.618644975,0.707750218,0.426941409,0.487787561,0.33681782,0.73496296,1.33021399,0.447053735,0.547106194,2.22152101,4.857254107,0.641812338,0.267061144,0.379588337,0.186866425,0.414721261,0.741355625,1.342263565,0.452934681,0.233710324,0.352602177,1.271149943,0.854901163,0.588603779,0.504335677,0.220981003,0.620172494,3.69277587,1.048896007,0.248730922,0.986776923,2.520660041,0.681018645,4.125827353,0.397060602,0.607443173,0.672617294,0.611992632,0.370423226
ENSG00000078549,0.046073513,0.011979113,0,0.004607351,0.293027542,0,0.013822054,0,0,1.46974506,0.047916453,0.734411795,0.039623221,0.058052626,0.137299068,0.166786117,0.00092147,0.006450292,0.082010853,0.009214703,0.010136173,0.162178765,0.111497901,0.056209686,0.027644108,0.329886352,5.599774752,0.046994983,0.844066755,0.033172929,0.00092147,2.140575407,2.011569571,0.046994983,0,0.031329989,0.14190642,0.117948193,0.014743524,0,1.388655677,0.018429405,0.025801167,0.147435241,0.137299068,0.00092147,0.012900584,0.24971844,0.579604792,1.062455206,0.425719259,0.009214703,0.447834545,3.732876011,3.036244497,3.435241118,0.009214703,3.04914508,5.202621071,0.890140268,0.778642367
ENSG00000078814,0.069902913,0.213820674,0.263163906,0.152141633,0.139805825,0.328954883,0.353626499,0,0,0.098686465,10.65402627,0.4564249,0.316619075,1.250028555,11.13923472,0.143917761,0.061679041,0.234380354,0.061679041,0.061679041,0.263163906,47.01065448,0.049343232,0.242604226,0.320731011,0.111022273,0.053455168,0.069902913,1.60776699,0.078126785,0.164477441,0.242604226,0.209708738,0.074014849,0.156253569,0.164477441,0.230268418,0.02055968,0.053455168,0.185037122,0.127470017,0.378298115,0.090462593,5.978754997,0.069902913,0.308395203,0.098686465,0.439977156,0.242604226,0.111022273,4.942547116,0.094574529,0.275499714,0.21793261,0.17681325,0.27961165,0.115134209,0.419417476,0.226156482,17.64431753,0.341290691
ENSG00000084676,1.264199859,0.697855291,1.550553853,1.32783408,1.646005185,1.049964648,0.632099929,1.022389819,1.769031346,1.353287768,1.656610889,1.966297431,1.38934716,1.938722602,0.899363658,0.84633514,0.825123733,1.302380391,1.102993165,1.217534763,0.96511902,0.680886165,1.100872025,2.721423521,0.907848221,0.661795899,0.988451567,1.408437426,1.959934009,0.761489512,0.566344568,1.213292482,0.772095216,1.077539477,0.375441904,1.066933773,0.30332312,1.20692906,0.381805326,1.291774688,0.526042894,0.680886165,0.933301909,1.323591798,2.197501768,0.823002593,0.93754419,0.36271506,0.873909969,0.632099929,1.296016969,0.882394532,1.032995522,1.310864954,0.979967004,1.629036059,1.72024511,0.803912326,0.869667688,1.071176055,1.077539477
ENSG00000085465,17.80776837,0.051261767,0.139545922,0.017087256,0.042718139,0.108219286,0.048413891,0,0,0,0.185111937,0.182264061,0.367375999,0,0.324657859,0.179416185,0,0.136698046,0.022783008,0.068349023,0.031326636,0.185111937,0.187959813,0.079740527,0.102523535,1.429633732,8.190491259,0.056957519,0.14808955,0.045566015,0.071196899,0.139545922,7.105450518,0.017087256,0.28193972,0.039870263,0.017087256,0.011391504,0,0.025630884,0.042718139,0.071196899,0.02847876,0.213590697,0.034174512,0.145241674,0.008543628,0.259156712,0.207894945,8.711652559,0.216438573,0.065501147,0.125306542,0.370223875,1.910924769,5.020805316,0.102523535,0.336049363,0.13385017,0.336049363,0.079740527
ENSG00000099822,0,0,3.140939597,2.899328859,16.67114094,37.20805369,0,0,0,9.906040268,6.040268456,0.483221477,0,3.140939597,3.140939597,0.483221477,0.724832215,0,0.966442953,1.44966443,1.208053691,0.483221477,0.724832215,1.44966443,0,0,0.241610738,0.966442953,0.724832215,0,0.724832215,0.724832215,0,0.483221477,0,0.241610738,0,0.241610738,0,1.208053691,1.932885906,0,0.483221477,1.932885906,0.724832215,0,1.44966443,3.624161074,1.691275168,0,0.724832215,0.483221477,3.624161074,1.208053691,0.241610738,0.724832215,3.865771812,1.691275168,0.241610738,2.657718121,3.140939597
ENSG00000100823,2.527851875,0.437784403,1.191903342,0.943354778,0.999843088,0.830378158,1.285109054,1.90930488,1.988388514,1.508237879,1.703122548,1.906480464,1.816099168,2.3866311,0.895339714,1.191903342,0.497097129,1.112819708,1.674878393,2.318845128,0.884042052,0.912286207,1.330299702,1.48846697,0.482975051,0.773889848,0.78518751,2.335791621,1.751137612,0.463204142,0.838851404,1.214498666,0.53381453,1.804801506,0.384120508,0.971598933,0.146869606,0.838851404,0.59030284,0.886866468,1.121292955,1.135415032,0.754118939,2.042052409,1.064804645,0.725874784,1.957319944,0.45190648,0.734348031,0.386944924,0.968774517,1.177781265,1.013965166,1.231445159,1.20602542,0.946179193,1.367017103,1.01114075,0.934881531,0.717401538,0.731523615
ENSG00000107223,2.710603829,0.61634757,2.438880707,2.863033873,1.564064801,0.304860088,1.159793814,0.815169367,3.220913108,1.597201767,3.260677467,1.285714286,1.292341679,1.173048601,0.656111929,2.047864507,0.675994109,1.749631811,1.431516937,1.62371134,0.795287187,1.398379971,1.822533137,1.517673049,1.199558174,0.894698085,0.835051546,1.656848306,1.835787923,0.503681885,0.503681885,1.411634757,0.629602356,1.882179676,0.503681885,1.226067747,0.053019146,1.000736377,0.324742268,1.683357879,1.351988218,0.881443299,0.762150221,2.763622975,0.669366716,1.120029455,0.444035346,0.404270987,0.980854197,0.457290133,1.060382916,1.318851252,1.285714286,1.02724595,0.748895434,0.530191458,1.159793814,1.199558174,0.782032401,1.219440353,0.888070692
ENSG00000108107,1.54642476,0.614727855,1.14941302,2.875133404,1.823906083,1.071504803,1.256136606,0.940234792,0.648879402,1.641408751,1.266808965,0.678762006,1.886872999,1.562433298,0.840981857,0.921024546,0.77588047,1.457844184,1.099252935,1.840981857,1.145144077,0.740661686,1.348986126,1.202774813,0.921024546,0.540021345,0.750266809,1.955176094,2.65208111,0.671291355,0.779082177,1.296691569,0.680896478,1.254002134,0.623265742,1.143009605,0.168623266,0.790821772,0.399146211,1.130202775,0.661686233,0.892209178,0.4226254,1.83244397,0.661686233,1.097118463,0.605122732,0.363927428,0.591248666,0.311632871,1.073639274,1.334044824,1.124866596,1.127001067,1.132337247,0.85058698,2.805763074,1.282817503,0.709711846,0.947705443,1.337246531
