Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,46,47,T03_1_048,T04_1_070,T05_3_044,T08_2_164,T10_2_117,26,27,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,T01_1_016,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T07_2_060,T08_1_161,T08_3_020,T09_3_077,T10_1_291,T11_1_015,T11_3_146
ENSG00000077232,0.749382817,0.511749581,0.489563906,0.219884695,0.401067711,0.21150344,0.266721121,0.544042065,0.431388135,0.677760061,0.364338093,0.42892306,0.746106732,0.530977167,0.931798371,0.434346225,0.180196987,0.621938436,0.580525175,0.198931557,0.431388135,0.200657109,0.599013238,1.230811975,0.827772204,0.488331368,0.413393087,0.685290865,0.659407577,0.65127283,0.472308381,0.32612943,0.711640053,1.288001716,0.43286718,0.529744629,2.151024493,4.703116698,0.621445421,0.258586373,0.367542691,0.180936509,0.401560726,0.717829856,1.299668917,0.438561503,0.22629389,0.341412895,0.569925353,0.213968515,0.600492283,3.575591367,1.015610923,0.240837833,0.955463091,2.440670812,3.994900634,0.384460501,0.588166908,0.592571997,0.358668421
ENSG00000077312,1.618131868,1.021978022,1.285214785,2.516233767,1.494255745,1.958791209,0.805194805,1.037462538,0.913586414,1.540709291,1.076173826,0.665834166,2.283966034,1.184565435,0.867132867,1.02972028,1.083916084,1.780719281,1.223276723,2.105894106,0.975524476,0.774225774,1.308441559,2.121378622,1.114885115,1.494255745,0.727772228,1.037462538,1.447802198,1.57942058,0.5497003,0.843906094,3.298201799,1.501998002,0.72002997,0.975524476,1.161338662,0.588411589,1.50974026,0.495504496,1.285214785,0.046453546,0.5497003,0.286463537,1.192307693,0.495504496,1.308441559,0.5497003,0.998751249,0.418081918,0.642607393,0.472277722,0.998751249,1.060689311,1.416833167,1.207792208,0.967782218,2.05944056,1.331668332,0.983266733,1.083916084
ENSG00000085465,16.38156004,0.047156258,0.128369813,0.015718753,0.039296882,0.0995521,0.044536466,0,0,0,0.170286487,0.167666695,0.337953182,0,0.2986563,0.165046903,0,0.125750021,0.020958337,0.062875011,0.028817713,0.170286487,0.172906279,0.196484408,0.031437505,0.007859376,0.094312516,0.073354179,1.757880504,0.123130229,1.315135638,7.5345221,0.052395842,0.13622919,0.041916674,0.065494803,0.128369813,6.536381307,0.015718753,0.259359419,0.036677089,0.015718753,0.010479168,0,0.023578129,0.039296882,0.065494803,0.026197921,0.133609397,0.238401082,0.191244824,8.013944055,0.1991042,0.060255218,0.115270853,0.340572974,4.618693485,0.094312516,0.309135469,0.309135469,0.073354179
ENSG00000092758,0.248663102,0.165775401,0.828877005,584.3508288,1.243315508,0,0,0,7.045454545,4.061497326,2.486631016,10.11229946,2.237967914,0,0.331550802,0.248663102,0,0.331550802,0.082887701,0.082887701,11.27272727,0.580213904,0.165775401,2.735294117,0.497326203,1.077540107,29.34224599,0.165775401,0.331550802,2.486631016,0,0.248663102,0,0.828877005,0,0,0,0,9.44919786,0,10.52673797,0,0.745989305,0,0.745989305,0.994652406,0.165775401,0.082887701,0,1.657754011,0.248663102,0.248663102,0.248663102,0.414438503,0.414438503,0.331550802,0.911764706,0.745989305,1.077540107,0.082887701,0.828877005
ENSG00000100823,2.721432075,0.471309465,1.283178029,1.01559588,1.076410005,0.893967631,1.383521334,2.055517411,2.140657185,1.623737126,1.833545856,2.052476705,1.955174105,2.569396763,0.963903875,1.283178029,0.535164296,1.198038254,1.803138794,2.496419814,0.95174105,0.982148112,1.432172634,2.198430604,1.146346248,2.107209417,0.519960765,1.602452183,1.29838156,1.006473762,0.833153507,0.845316332,2.514664051,1.885237862,0.498675822,0.90308975,1.307503678,0.574693477,1.94301128,0.413536047,1.046002943,0.158116724,0.90308975,0.635507602,0.954781756,1.207160373,1.222363904,0.811868563,0.781461501,0.486512997,0.79058362,0.416576753,1.042962237,1.267974497,1.091613536,1.325747916,1.018636587,1.471701815,1.08857283,0.772339382,0.787542913
ENSG00000106366,0.417936694,0.090855803,13.28311841,1.907971865,7.613716297,0.199882767,0.517878078,0.390679953,3.379835874,12.51992966,0.972157093,0.272567409,0.109026964,2.589390388,1.562719813,0.036342321,0.445193435,0.672332943,3.279894491,1.262895663,0.245310668,0.127198124,0.953985932,0.327080891,0.427022274,5.051582651,15.8270809,1.235638922,0.681418523,7.895369287,0.390679953,0.236225088,6.532532241,1.544548652,0.735932005,0.127198124,0.354337632,0.109026964,1.76260258,0,0.572391559,0.063599062,1.008499414,1.49003517,0.635990622,0.517878078,0.354337632,0.863130129,0.463364596,0.545134818,0.154454865,0.054513482,1.099355217,6.768757329,0.263481829,0.172626026,0.218053927,1.953399766,0.735932005,1.099355217,0.172626026
ENSG00000107223,2.746750433,0.624566724,2.471403813,2.901213172,1.58492201,0.308925477,1.175259965,0.826039861,3.263864818,1.618500867,3.304159446,1.302859619,1.30957539,1.188691508,0.664861352,2.07517331,0.685008666,1.772963605,1.450606586,1.645363952,0.805892548,1.41702773,1.846837088,2.800476603,0.678292894,0.449956672,1.215554593,1.537911612,0.758882149,0.792461005,0.906629116,0.846187175,1.678942808,1.860268631,0.510398614,0.510398614,1.430459272,0.637998267,1.90727903,0.510398614,1.242417678,0.05372617,1.014081456,0.32907279,1.705805893,1.370017331,0.893197574,0.772313692,1.134965338,0.409662045,0.993934142,0.463388215,1.074523397,1.336438475,1.302859619,1.040944541,0.537261698,1.175259965,1.215554593,1.235701906,0.899913345
ENSG00000109063,0.714285714,1.238095238,1.523809524,5.761904762,1.714285714,2.857142857,1.333333333,10.42857143,0,0.80952381,1.857142857,3.904761905,0.523809524,0.238095238,1.80952381,2.80952381,0.428571429,2.238095238,2.380952381,1.761904762,2.380952381,2.142857143,0.619047619,2.857142857,0.285714286,0,1.380952381,3.428571429,1.80952381,2,2.095238095,0.333333333,1.142857143,0.523809524,0.714285714,0.380952381,1.285714286,0.428571429,0.761904762,0.428571429,1.428571429,0,1.047619048,0.238095238,0.666666667,1.380952381,0.80952381,0.666666667,0.333333333,0.285714286,0.380952381,0.19047619,1.666666667,1.476190476,0.714285714,2.619047619,0.523809524,1.80952381,1.761904762,3.333333333,1.571428571
ENSG00000111218,1,0,0,0,0,0,0,0,0,0,0.333333333,0.555555556,0,0,0.333333333,0.222222222,0,0,0.111111111,0.111111111,0,0,0,25.55555556,0.111111111,0,0.111111111,0,0.222222222,0,0,0.666666667,0.222222222,0,0,7.666666667,2.222222222,0,0.111111111,0,0.666666667,0,0.111111111,0,0,0.555555556,0,0,0,5.444444444,0,3.555555556,1.111111111,0,0.444444444,1.444444444,2.111111111,0,3,0,1.666666667
ENSG00000112234,0.823258089,0.578447131,1.076734922,0.411629045,0.340135579,0.526451883,0.513453071,0.61311063,0.255643301,1.074568453,0.831923964,1.070235516,0.69326997,1.044237892,1.094066671,0.656440003,0.452791949,0.825424558,0.574114194,0.532951289,0.463624292,0.357467328,0.957579146,0.766929904,1.035572018,0.75826403,0.639108253,0.888252149,0.959745615,0.480956042,0.790761059,0.662939409,1.200223635,0.912083304,0.630442379,1.893493605,1.024739674,0.541617164,1.087567265,0.524285415,0.842756307,0.132154588,0.818925152,0.680271158,1.232720665,0.537284227,0.569781257,0.779928716,1.518694528,0.864420994,1.020406737,0.88608568,2.185966874,0.90341743,1.35404291,1.56419037,1.577189182,1.052903767,1.026906143,1.243553008,0.940247397
