,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X17,X19,X20,X21,X22,X23,X24,X25,X46,X47,T03_1_048,T04_1_070,T05_3_044,T08_2_164,T10_2_117,X27,X29,X30,X33,X34,X35,X36,X37,X38,X39,X41,X42,X43,X44,X45,T01_1_016,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T07_2_060,T08_1_161,T08_3_020,T09_3_077,T10_1_291,T11_1_015,T11_3_146
ENSG00000163644,277,388,289,204,442,130,67,162,106,211,160,470,256,155,92,101,229.72,243,171,257,172,76,454,60,261,220,268,452,185,113,245,312,131.16,454,192,539,240,503,172,481,125,81,128,772,211,334,172,559,529,850,193,337,310,418,1815,576,219,568
ENSG00000126838,4,0,13,9,0,0,0,0,0,0,0,16,15,0,16,3,0,3,0,0,4,2,177,26,4,36,8,20.01,18,11,357.26,9.49,67.34,495,435,1,0,2,13,8,19,33,8,0,2,10,23,18,433.27,74.04,11,13,325.11,153,86,7,32.03,25
ENSG00000163481,103,29,50,58,27,49,34,63,90,56,58,75,34,51,44,38,27,46,52,101,48,38,41,79,57,54,45,103,71,56,37,52,28,29,34,75,30,80,0,36,12,42,44,23,32,34,38,53,22,54,16,56,55,30,80,82,31,45
ENSG00000136942,832,209,700,787,1130,422,633,503,565,1145,1043,503,749,733,365,584.99,379,889,521,1102,430,332,677,749,399,680,309,615,538,330,247,1041,1068,551,205,571,367,303,212,309,241,693,501,431,232,445,153,262,134,661.99,608,512,550.99,371,1042,539,334.97,517
ENSG00000196754,78,17,5,6,50,31,0,265,0,0,0,2,0,75,7,8,518,1,629,72,20,26,124,6,47,657,521,240,148,68,0,33,1,26,0,51,17,24,0,14,9,0,19,0,6,66,40,44,4,6,26,135,19,23,2,82,5,31
ENSG00000141858,192,93,653,278,303,158,332,300,96,228,155,244,265,348,174,243,167,128,388,238,255,215,147,293,399,236,105,346,233,144,141,329,220,320,123,246,125,122,65,131,165,236,160,142,139,410,116,95,128,226,173,255,205,108,254,197,201,161
ENSG00000106366,46,10,1462,210,838,22,57,43,372,1378,107,30,12,285,172,4,49,74,361,139,27,14,105,36,47,556,1742,136,75,869,26,719,170,39,12,194,0,63,7,111,164,70,57,39,95,51,60,17,6,121,745,29,19,24,215,81,121,19
ENSG00000208892,12,9,16,11,7,0,0,0,179,66,46,24,15,17,12,41,1,10,17,5,7,7,21,13,0,0,5,4,2,4,14,5,5,6,19,5,0,0,0,4,5,10,1,1,4,0,1,2,5,12,5,8,4,0,3,3,0,4
ENSG00000077312,209,132,166,325,193,253,104,134,118,199,139,86,295,153,112,133,140,230,158,272,126,100,169,274,144,193,94,134,187,204,109,426,194,150,76,195,64,166,6,71,37,154,64,169,71,129,54,83,61,129,137,183,156,125,266,172,127,140
ENSG00000271303,82,232,130,49,229,974,97,60,247,504,150,74,52,366,100,131,134,183,122,168,67,53,91,130,222,493,1248,322,138,381,91,381,112,85,74,246,83,127,2,35,30,248,140,108,65,281,83,67,88,226,216,228,205,186,157,81,57,142
ENSG00000133121,314,201,326,164,327,169,171.45,360,390,445,249,382,196,170,300,286,145.67,260,253,132,143,224,379,310.37,412,164,121,266.34,303,258.25,750,591,397,557,359,164,583,644,241,191,248,124,385,395,170,276,254.42,327,381.24,478,351.16,297,528,444,118,278.33,598.55,505.28
ENSG00000163931,957,694,623,1651,2394,5337,387,340,1088,2621,598,612,1003,764,582,634,385,637,1263,1463,521,157,897,1325,1162,2285,1651,2321,2194,8184,828,2270,1006,973,363,996,280,645,165,325,257,564,696,269,271,682,262,437,442,556,2016,1282,1491,1097,1148,1748,783,1426
ENSG00000171928,341.53,376.33,319.69,145.66,178.54,421.64,335.74,146.64,29.63,439.77,220.14,270.2,474.1,224.42,336.36,339.95,442.15,283.02,292.84,314.5,155.15,143.76,518.57,284.86,557.24,427.15,225.93,479.45,563.89,374.74,694.45,494.39,205.34,605.21,661.74,457.15,267.35,338.64,335,375.54,512.47,266.68,238.1,215.86,233.76,639.66,328.71,659.34,812.58,1249.92,522.18,966.89,762.06,534.25,395.65,543.65,367.72,456.35
ENSG00000167165,1,126.15,0,0,0,1281.93,0,94.37,0,416.17,4,0,0,0,2,0,0,0,3,12.92,0,1,4.11,0,1,135.54,495.18,0,3,172.67,0,0,0,0,0,0,4,7,0,0,0,1,10,0,5,0,28.49,0,0,9,0,16.75,0,16.51,0,5.25,0,17.71
ENSG00000153993,149,0,1,26,0,0,17,70,39,5,8,67,0,7,46,8,17,7,305,101,6,0,45,2,3,12,46,10,64,426,429,121,456,178,343,24,0,56,24,73,262,5,10,11,0,0,73,119,2140,286,85,168,526,291,128,121,23,151
ENSG00000186908,445,468,328,237,384,570,281,346,313,356,273,556,360,331,447,409,234,384,502,455,317,144,411,343,382,449,553,263,550,527,271,587,395,458,493,503,265,493,131,408,348,342,306,294,401,767,334,590,593,1309,727,672,726,1266,883,755,613,602
ENSG00000207523,0,4,8,1,4,0,0,0,60,32,2,2,10,13,0,13,6,0,3,0,4,2,0,23,0,0,9,1,0,0,0,0,0,0,0,0,3,0,0,2,5,0,0,0,0,0,0,0,1,1,0,1,0,1,2,6,0,1
Age,83,64,72,52,78,71,84,81,66,70,70,71,66,79,65,68,67,57,49,77,68,85,81,73,87,66,77,75,74,62,58,73,84,70,87,76,65,81,72,57,62,85,66,79,69,100,64,84,85,56,54,94,77,55,75,90,65,73
Grade,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FIGOstage,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,0,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,0,2,0,0,1,2,2,0,0,2,0,1,0
ERIHC_bi2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRIHC_bi2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0
